onset	duration	sample	value	trial_type	response_time	stim_file
-0.001	2.354	n/a	boundary	n/a	n/a	n/a
0	n/a	n/a	boundary	STATUS	n/a	n/a
1.581	4.738	n/a	boundary	n/a	n/a	n/a
2.913	1.052	n/a	boundary	n/a	n/a	n/a
4.495	0.776	n/a	boundary	n/a	n/a	n/a
4.773	36.87	n/a	boundary	n/a	n/a	n/a
5.301	10.256	n/a	boundary	n/a	n/a	n/a
5.329	6.57	n/a	boundary	n/a	n/a	n/a
6.911	0.524	n/a	boundary	n/a	n/a	n/a
9.019	0.776	n/a	boundary	n/a	n/a	n/a
10.101	0.524	n/a	boundary	n/a	n/a	n/a
11.683	1.026	n/a	boundary	n/a	n/a	n/a
14.871	4.712	n/a	boundary	n/a	n/a	n/a
15.427	2.882	n/a	boundary	n/a	n/a	n/a
16.182	n/a	n/a	S  2	Right Button	n/a	n/a
16.396	n/a	n/a	S  8	STATUS	n/a	n/a
16.396	n/a	n/a	R 12	STATUS	n/a	n/a
17.452	n/a	n/a	S  1	Fixation	n/a	n/a
18.184	n/a	n/a	S  9	STATUS	n/a	n/a
18.184	n/a	n/a	R  6	STATUS	n/a	n/a
19.53	n/a	n/a	S  2	Right Button	n/a	n/a
19.752	n/a	n/a	S  8	STATUS	n/a	n/a
19.752	n/a	n/a	R 12	STATUS	n/a	n/a
20.808	n/a	n/a	S  1	Fixation	n/a	n/a
21.48	n/a	n/a	S  8	STATUS	n/a	n/a
21.48	n/a	n/a	R  6	STATUS	n/a	n/a
22.442	n/a	n/a	S  3	Left Button	n/a	n/a
22.696	n/a	n/a	S  8	STATUS	n/a	n/a
22.696	n/a	n/a	R 12	STATUS	n/a	n/a
23.754	n/a	n/a	S  1	Fixation	n/a	n/a
24.55	n/a	n/a	S  9	STATUS	n/a	n/a
24.55	n/a	n/a	R  6	STATUS	n/a	n/a
25.406	n/a	n/a	S  4	Up Button	n/a	n/a
25.738	n/a	n/a	S  8	STATUS	n/a	n/a
25.738	n/a	n/a	R 12	STATUS	n/a	n/a
26.796	n/a	n/a	S  1	Fixation	n/a	n/a
27.538	n/a	n/a	S  8	STATUS	n/a	n/a
27.538	n/a	n/a	R  6	STATUS	n/a	n/a
28.754	n/a	n/a	S  4	Up Button	n/a	n/a
28.928	n/a	n/a	S  8	STATUS	n/a	n/a
28.928	n/a	n/a	R 12	STATUS	n/a	n/a
29.984	n/a	n/a	S  1	Fixation	n/a	n/a
30.736	n/a	n/a	S  7	STATUS	n/a	n/a
30.736	n/a	n/a	R  6	STATUS	n/a	n/a
32.29	n/a	n/a	S  3	Left Button	n/a	n/a
32.29	n/a	n/a	R  6	STATUS	n/a	n/a
32.472	n/a	n/a	S  7	STATUS	n/a	n/a
32.472	n/a	n/a	R 12	STATUS	n/a	n/a
33.528	n/a	n/a	S  1	Fixation	n/a	n/a
34.358	n/a	n/a	S  5	STATUS	n/a	n/a
34.358	n/a	n/a	R  6	STATUS	n/a	n/a
35.014	n/a	n/a	S  2	Right Button	n/a	n/a
35.186	n/a	n/a	S  8	STATUS	n/a	n/a
35.186	n/a	n/a	R 12	STATUS	n/a	n/a
36.242	n/a	n/a	S  1	Fixation	n/a	n/a
36.775	1.052	n/a	boundary	n/a	n/a	n/a
36.818	n/a	n/a	S  9	STATUS	n/a	n/a
36.818	n/a	n/a	R 12	STATUS	n/a	n/a
37.303	1.024	n/a	boundary	n/a	n/a	n/a
37.662	n/a	n/a	S  7	STATUS	n/a	n/a
37.662	n/a	n/a	R  6	STATUS	n/a	n/a
37.859	0.498	n/a	boundary	n/a	n/a	n/a
38.244	n/a	n/a	S  2	Right Button	n/a	n/a
38.426	n/a	n/a	S  8	STATUS	n/a	n/a
38.426	n/a	n/a	R 12	STATUS	n/a	n/a
39.482	n/a	n/a	S  1	Fixation	n/a	n/a
40.214	n/a	n/a	S  6	STATUS	n/a	n/a
40.214	n/a	n/a	R  6	STATUS	n/a	n/a
41.012	n/a	n/a	S  3	Left Button	n/a	n/a
41.352	n/a	n/a	S  8	STATUS	n/a	n/a
41.352	n/a	n/a	R 12	STATUS	n/a	n/a
42.41	n/a	n/a	S  1	Fixation	n/a	n/a
43.19	n/a	n/a	S 10	STATUS	n/a	n/a
43.19	n/a	n/a	R  6	STATUS	n/a	n/a
43.688	n/a	n/a	S  4	Up Button	n/a	n/a
43.908	n/a	n/a	S  8	STATUS	n/a	n/a
43.908	n/a	n/a	R 12	STATUS	n/a	n/a
44.966	n/a	n/a	S  1	Fixation	n/a	n/a
45.756	n/a	n/a	S  8	STATUS	n/a	n/a
45.756	n/a	n/a	R  6	STATUS	n/a	n/a
46.176	n/a	n/a	S  2	Right Button	n/a	n/a
46.478	n/a	n/a	S  9	STATUS	n/a	n/a
46.478	n/a	n/a	R 12	STATUS	n/a	n/a
47.534	n/a	n/a	S  1	Fixation	n/a	n/a
48.254	n/a	n/a	S 10	STATUS	n/a	n/a
48.254	n/a	n/a	R  6	STATUS	n/a	n/a
49.524	n/a	n/a	S  4	Up Button	n/a	n/a
49.676	n/a	n/a	S  8	STATUS	n/a	n/a
49.676	n/a	n/a	R 12	STATUS	n/a	n/a
50.732	n/a	n/a	S  1	Fixation	n/a	n/a
51.522	n/a	n/a	S  9	STATUS	n/a	n/a
51.522	n/a	n/a	R  6	STATUS	n/a	n/a
